"","a[str_detect(a[, 1], pattern = pat_fecha), ]","fecha","precip","evap","TMAX","TMIN","Estacion"
"1","   10.5 ","01/08/1979",0,0,23.6,10.5,"9064"
"2","   10.8 ","02/08/1979",0,0,23.3,10.8,"9064"
"3","   9.5 ","03/08/1979",4.3,0,22.4,9.5,"9064"
"4","   11 ","04/08/1979",0.7,0,21.5,11,"9064"
"5","   11.1 ","05/08/1979",1.6,0,18.2,11.1,"9064"
"6","    12 ","06/08/1979",30.7,0,20,12,"9064"
"7","   10.5 ","07/08/1979",0,0,23.3,10.5,"9064"
"8","    10.5 ","08/08/1979",16,0,23,10.5,"9064"
"9","   12.3 ","09/08/1979",16,0,23.1,12.3,"9064"
"10","   11.1 ","10/08/1979",39.2,0,22.7,11.1,"9064"
"11","   14.7 ","11/08/1979",17.1,0,23.2,14.7,"9064"
"12","   13.7 ","12/08/1979",4.9,0,22.6,13.7,"9064"
"13","   11.8 ","13/08/1979",9.8,0,22.8,11.8,"9064"
"14","   10.5 ","14/08/1979",0.2,0,22.5,10.5,"9064"
"15","   12.6 ","15/08/1979",4.3,0,20.3,12.6,"9064"
"16","    12.6 ","16/08/1979",0.8,0,23,12.6,"9064"
"17","    11.5 ","17/08/1979",0.1,0,22,11.5,"9064"
"18","   10.5 ","18/08/1979",0,0,22.4,10.5,"9064"
"19","    12 ","19/08/1979",1,0,23,12,"9064"
"20","   11.9 ","20/08/1979",0,0,23.5,11.9,"9064"
"21","   13 ","21/08/1979",5,0,23.4,13,"9064"
"22","   9 ","22/08/1979",1.4,0,24.6,9,"9064"
"23","    13 ","23/08/1979",0,0,22,13,"9064"
"24","   11.5 ","24/08/1979",15.5,0,22.1,11.5,"9064"
"25","   12.5 ","25/08/1979",12.6,0,16.5,12.5,"9064"
"26","   12.1 ","26/08/1979",9.7,0,15.9,12.1,"9064"
"27","   13 ","27/08/1979",13,0,23.4,13,"9064"
"28","   13.6 ","28/08/1979",48.8,0,22.5,13.6,"9064"
"29","   13.7 ","29/08/1979",0.8,0,20.3,13.7,"9064"
"30","   11.9 ","30/08/1979",50.9,0,23.9,11.9,"9064"
"31","   12.4 ","31/08/1979",5,0,23.7,12.4,"9064"
"32","   15.2 ","01/09/1979",2.9,0,23.8,15.2,"9064"
"33","    12 ","02/09/1979",0,0,24,12,"9064"
"34","   10.8 ","03/09/1979",0.9,0,21.8,10.8,"9064"
"35","   14 ","04/09/1979",19,0,21.7,14,"9064"
"36","   14.5 ","05/09/1979",0,0,22.9,14.5,"9064"
"37","    13.8 ","06/09/1979",2,0,22,13.8,"9064"
"38","    14.5 ","07/09/1979",2.1,0,20,14.5,"9064"
"39","   14.7 ","08/09/1979",0.1,0,21.4,14.7,"9064"
"40","   13.7 ","09/09/1979",1.2,0,21.4,13.7,"9064"
"41","   14 ","10/09/1979",18.6,0,18.7,14,"9064"
"42","    13.4 ","11/09/1979",40.2,0,20,13.4,"9064"
"43","   13.7 ","12/09/1979",24.6,0,19.9,13.7,"9064"
"44","   14.2 ","13/09/1979",19.8,0,19.3,14.2,"9064"
"45","   12 ","14/09/1979",0,0,20.8,12,"9064"
"46","    13 ","15/09/1979",0.2,0,21,13,"9064"
"47","   13.5 ","16/09/1979",0,0,17.8,13.5,"9064"
"48","   13 ","17/09/1979",30.2,0,16.1,13,"9064"
"49","   11 ","18/09/1979",18.3,0,17.7,11,"9064"
"50","    13.6 ","19/09/1979",0.1,0,18,13.6,"9064"
"51","   13.5 ","20/09/1979",3,0,20.4,13.5,"9064"
"52","   13.4 ","21/09/1979",0,0,18.2,13.4,"9064"
"53","   13.2 ","22/09/1979",0,0,21.5,13.2,"9064"
"54","   12.5 ","23/09/1979",0,0,23.2,12.5,"9064"
"55","   8 ","24/09/1979",0,0,21.5,8,"9064"
"56","    7.6 ","25/09/1979",0,0,19,7.6,"9064"
"57","   3.4 ","26/09/1979",0,0,20.1,3.4,"9064"
"58","    4 ","27/09/1979",0,0,21,4,"9064"
"59","    4.8 ","28/09/1979",0,0,23,4.8,"9064"
"60","   4.5 ","29/09/1979",0,0,23.3,4.5,"9064"
"61","   3 ","30/09/1979",0,0,22.6,3,"9064"
"62","   3.3 ","01/10/1979",0,0,22.9,3.3,"9064"
"63","    2.4 ","02/10/1979",0,0,23,2.4,"9064"
"64","   3.6 ","03/10/1979",0,0,24.1,3.6,"9064"
"65","   4.3 ","04/10/1979",0,0,14.2,4.3,"9064"
"66","   6.5 ","05/10/1979",0,0,23.5,6.5,"9064"
"67","    6 ","06/10/1979",0,0,26,6,"9064"
"68","   9 ","07/10/1979",0,0,24.6,9,"9064"
"69","    4.5 ","08/10/1979",0,0,26,4.5,"9064"
"70","   6.6 ","09/10/1979",0,0,25.6,6.6,"9064"
"71","   7.3 ","10/10/1979",0,0,23.2,7.3,"9064"
"72","   6.4 ","11/10/1979",0,0,23.5,6.4,"9064"
"73","   6 ","12/10/1979",0,0,24.7,6,"9064"
"74","   7.5 ","13/10/1979",0,0,23.9,7.5,"9064"
"75","   8.9 ","14/10/1979",0,0,25.4,8.9,"9064"
"76","   6.2 ","15/10/1979",0,0,24.9,6.2,"9064"
"77","   6.6 ","16/10/1979",0,0,25.3,6.6,"9064"
"78","   3.8 ","17/10/1979",0,0,25.2,3.8,"9064"
"79","   7 ","18/10/1979",0,0,25.9,7,"9064"
"80","   7.2 ","19/10/1979",0,0,25.8,7.2,"9064"
"81","   9 ","20/10/1979",0,0,26.8,9,"9064"
"82","   9 ","21/10/1979",0,0,26.8,9,"9064"
"83","   8.6 ","22/10/1979",0,0,26.8,8.6,"9064"
"84","    13.5 ","23/10/1979",0,0,24,13.5,"9064"
"85","    7.7 ","24/10/1979",0,0,25,7.7,"9064"
"86","   7.9 ","25/10/1979",0,0,20.6,7.9,"9064"
"87","   8.4 ","26/10/1979",0,0,22.5,8.4,"9064"
"88","   10.7 ","27/10/1979",0,0,22.7,10.7,"9064"
"89","   13.6 ","28/10/1979",0,0,24.9,13.6,"9064"
"90","   11 ","29/10/1979",0,0,23.2,11,"9064"
"91","   12.5 ","30/10/1979",0,0,21.5,12.5,"9064"
"92","    5.7 ","31/10/1979",0,0,25,5.7,"9064"
"93","ULO   NULO","01/09/1982",0,0,NA,NA,"9064"
"94","ULO   NULO","02/09/1982",0,0,NA,NA,"9064"
"95","ULO   NULO","03/09/1982",0,0,NA,NA,"9064"
"96","ULO   NULO","04/09/1982",0,0,NA,NA,"9064"
"97","ULO   NULO","05/09/1982",0,0,NA,NA,"9064"
"98","ULO   NULO","06/09/1982",0,0,NA,NA,"9064"
"99","ULO   NULO","07/09/1982",0,0,NA,NA,"9064"
"100","ULO   NULO","08/09/1982",0,0,NA,NA,"9064"
"101","ULO   NULO","09/09/1982",0,0,NA,NA,"9064"
"102","ULO   NULO","10/09/1982",0,0,NA,NA,"9064"
"103","ULO   NULO","11/09/1982",0,0,NA,NA,"9064"
"104","ULO   NULO","12/09/1982",0,0,NA,NA,"9064"
"105","ULO   NULO","13/09/1982",3.1,0,NA,NA,"9064"
"106","ULO   NULO","14/09/1982",0,0,NA,NA,"9064"
"107","ULO   NULO","15/09/1982",0,0,NA,NA,"9064"
"108","ULO   NULO","16/09/1982",0,0,NA,NA,"9064"
"109","ULO   NULO","17/09/1982",0,0,NA,NA,"9064"
"110","ULO   NULO","18/09/1982",0,0,NA,NA,"9064"
"111","ULO   NULO","19/09/1982",0,0,NA,NA,"9064"
"112","ULO   NULO","20/09/1982",0,0,NA,NA,"9064"
"113","ULO   NULO","21/09/1982",0,0,NA,NA,"9064"
"114","ULO   NULO","22/09/1982",1.1,0,NA,NA,"9064"
"115","ULO   NULO","23/09/1982",0,0,NA,NA,"9064"
"116","ULO   NULO","24/09/1982",0,0,NA,NA,"9064"
"117","ULO   NULO","25/09/1982",0,0,NA,NA,"9064"
"118","ULO   NULO","26/09/1982",0,0,NA,NA,"9064"
"119","ULO   NULO","27/09/1982",0,0,NA,NA,"9064"
"120","ULO   NULO","28/09/1982",0,0,NA,NA,"9064"
"121","ULO   NULO","29/09/1982",0,0,NA,NA,"9064"
"122","ULO   NULO","30/09/1982",0,0,NA,NA,"9064"
"123","ULO   NULO","01/11/1982",0,0,NA,NA,"9064"
"124","ULO   NULO","02/11/1982",0,0,NA,NA,"9064"
"125","ULO   NULO","03/11/1982",0,0,NA,NA,"9064"
"126","ULO   NULO","04/11/1982",0,0,NA,NA,"9064"
"127","ULO   NULO","05/11/1982",0,0,NA,NA,"9064"
"128","ULO   NULO","06/11/1982",0,0,NA,NA,"9064"
"129","ULO   NULO","07/11/1982",0,0,NA,NA,"9064"
"130","ULO   NULO","08/11/1982",0,0,NA,NA,"9064"
"131","ULO   NULO","09/11/1982",0,0,NA,NA,"9064"
"132","ULO   NULO","10/11/1982",0,0,NA,NA,"9064"
"133","ULO   NULO","11/11/1982",0,0,NA,NA,"9064"
"134","ULO   NULO","12/11/1982",0,0,NA,NA,"9064"
"135","ULO   NULO","13/11/1982",0,0,NA,NA,"9064"
"136","ULO   NULO","14/11/1982",0,0,NA,NA,"9064"
"137","ULO   NULO","15/11/1982",0,0,NA,NA,"9064"
"138","ULO   NULO","16/11/1982",0,0,NA,NA,"9064"
"139","ULO   NULO","17/11/1982",0,0,NA,NA,"9064"
"140","ULO   NULO","18/11/1982",0,0,NA,NA,"9064"
"141","ULO   NULO","19/11/1982",0,0,NA,NA,"9064"
"142","ULO   NULO","20/11/1982",0,0,NA,NA,"9064"
"143","ULO   NULO","21/11/1982",0,0,NA,NA,"9064"
"144","ULO   NULO","22/11/1982",0,0,NA,NA,"9064"
"145","ULO   NULO","23/11/1982",0,0,NA,NA,"9064"
"146","ULO   NULO","24/11/1982",0,0,NA,NA,"9064"
"147","ULO   NULO","25/11/1982",0,0,NA,NA,"9064"
