"","a[str_detect(a[, 1], pattern = pat_fecha), ]","fecha","precip","evap","TMAX","TMIN","Estacion"
"1","    2 ","01/01/1961",0,4.5,24,2,"9024"
"2","    2 ","02/01/1961",0,3.5,23,2,"9024"
"3","    2 ","03/01/1961",0,3.1,22,2,"9024"
"4","   2.5 ","04/01/1961",0,2.7,18.5,2.5,"9024"
"5","   3.5 ","05/01/1961",0,3.7,21.5,3.5,"9024"
"6","    3.5 ","06/01/1961",0,3.3,24,3.5,"9024"
"7","    4.5 ","07/01/1961",0,3,24,4.5,"9024"
"8","   4.5 ","08/01/1961",0,3.1,22.5,4.5,"9024"
"9","    6.5 ","09/01/1961",0,1.9,20,6.5,"9024"
"10","    2 ","10/01/1961",1.7,2.2,20,2,"9024"
"11","   2 ","11/01/1961",2,2.4,19.5,2,"9024"
"12","    4 ","12/01/1961",1,3,20,4,"9024"
"13","    2.5 ","13/01/1961",0,3.6,22,2.5,"9024"
"14","    2.5 ","14/01/1961",0,2.4,20,2.5,"9024"
"15","   2.5 ","15/01/1961",0,2.8,20.5,2.5,"9024"
"16","    3 ","16/01/1961",0,2.4,16,3,"9024"
"17","    4 ","17/01/1961",0,2,18,4,"9024"
"18","   5 ","18/01/1961",0,2.6,21.5,5,"9024"
"19","    4.5 ","19/01/1961",0,3,21,4.5,"9024"
"20","   5 ","20/01/1961",1,2.2,20.5,5,"9024"
"21","    6.5 ","21/01/1961",0.1,2.3,16,6.5,"9024"
"22","    4.5 ","22/01/1961",0,3.5,22,4.5,"9024"
"23","   4.5 ","23/01/1961",0,3.2,19.5,4.5,"9024"
"24","   4 ","24/01/1961",0,3.5,17.5,4,"9024"
"25","    3.5 ","25/01/1961",0,2.8,23,3.5,"9024"
"26","    3.5 ","26/01/1961",0,4.7,25,3.5,"9024"
"27","   3.5 ","27/01/1961",0,3.9,23.5,3.5,"9024"
"28","    3.5 ","28/01/1961",0,4.3,24,3.5,"9024"
"29","    3 ","29/01/1961",0,4.2,24,3,"9024"
"30","   2.5 ","30/01/1961",0,4.2,21.5,2.5,"9024"
"31","    3 ","31/01/1961",0,2.9,22,3,"9024"
"32","   4 ","01/02/1961",0,2.8,22.5,4,"9024"
"33","    5 ","02/02/1961",0,4.8,21,5,"9024"
"34","    2 ","03/02/1961",0,3.8,19,2,"9024"
"35","   1.5 ","04/02/1961",0,6.1,21.5,1.5,"9024"
"36","    1.5 ","05/02/1961",0,1.7,18,1.5,"9024"
"37","   6 ","06/02/1961",0,6.2,20.5,6,"9024"
"38","    1 ","07/02/1961",0,5.4,23,1,"9024"
"39","   1 ","08/02/1961",0,3.3,24.5,1,"9024"
"40","   3 ","09/02/1961",0,4.5,23.5,3,"9024"
"41","   4.5 ","10/02/1961",0,5.1,20.5,4.5,"9024"
"42","   5 ","11/02/1961",0,4.5,18.5,5,"9024"
"43","   -3.5 ","12/02/1961",0,5.6,21,-3.5,"9024"
"44","  -2 ","13/02/1961",0,5.4,23.5,-2,"9024"
"45","   -1.5 ","14/02/1961",0,3.4,23,-1.5,"9024"
"46","    0 ","15/02/1961",0,4.4,24,0,"9024"
"47","   2 ","16/02/1961",0,3.6,22.5,2,"9024"
"48","    3 ","17/02/1961",0,5.2,25,3,"9024"
"49","    4 ","18/02/1961",0,5.8,25,4,"9024"
"50","    4.5 ","19/02/1961",0,6.4,25,4.5,"9024"
"51","   5 ","20/02/1961",0,7.5,25.5,5,"9024"
"52","    5.5 ","21/02/1961",0,6.7,24,5.5,"9024"
"53","   4 ","22/02/1961",0,6.4,23.5,4,"9024"
"54","    4.5 ","23/02/1961",0,5.7,26,4.5,"9024"
"55","   4.5 ","24/02/1961",0,4.6,24.5,4.5,"9024"
"56","   6 ","25/02/1961",0,4,21.5,6,"9024"
"57","   3.5 ","26/02/1961",0,4.6,24.5,3.5,"9024"
"58","   5 ","27/02/1961",0,5.2,26.5,5,"9024"
"59","    6.5 ","28/02/1961",0,5.9,25,6.5,"9024"
"60","    7 ","01/03/1961",5.1,3.8,23,7,"9024"
"61","    5 ","02/03/1961",0,5.2,24,5,"9024"
"62","    5 ","03/03/1961",0,3.1,21,5,"9024"
"63","   7 ","04/03/1961",0,3.7,19.5,7,"9024"
"64","    7 ","05/03/1961",0,3.8,23,7,"9024"
"65","    5 ","06/03/1961",0,6.7,27,5,"9024"
"66","    6 ","07/03/1961",0,5.9,27,6,"9024"
"67","    9 ","08/03/1961",0,6.4,23,9,"9024"
"68","   4.5 ","09/03/1961",0,7.7,22.5,4.5,"9024"
"69","   2 ","10/03/1961",0,3.1,24.5,2,"9024"
"70","    3.5 ","11/03/1961",2,3.2,23,3.5,"9024"
"71","   7 ","12/03/1961",0,3,21.5,7,"9024"
"72","    4.5 ","13/03/1961",0,4.7,24,4.5,"9024"
"73","    5 ","14/03/1961",0,5.5,23,5,"9024"
"74","   7.5 ","15/03/1961",0,3.8,22.5,7.5,"9024"
"75","    9 ","16/03/1961",0,6.9,25,9,"9024"
"76","    5 ","17/03/1961",0,7.9,25,5,"9024"
"77","    3.5 ","18/03/1961",0,8.8,25,3.5,"9024"
"78","    2 ","19/03/1961",0,7.2,25,2,"9024"
"79","   3 ","20/03/1961",0,9.1,23.5,3,"9024"
"80","    4.5 ","21/03/1961",0,8.9,25,4.5,"9024"
"81","    5 ","22/03/1961",0,7.8,25,5,"9024"
"82","   4.5 ","23/03/1961",0,6.9,23.5,4.5,"9024"
"83","    5 ","24/03/1961",0,9.1,23,5,"9024"
"84","    6 ","25/03/1961",0,4.4,24,6,"9024"
"85","   9.5 ","26/03/1961",0,7.4,22.5,9.5,"9024"
"86","    8 ","27/03/1961",0,7.6,25,8,"9024"
"87","    7.5 ","28/03/1961",0,7,27,7.5,"9024"
"88","   9 ","29/03/1961",0,7.4,26.5,9,"9024"
"89","    8 ","30/03/1961",0,8.9,28,8,"9024"
"90","   9 ","31/03/1961",0,9.7,28.5,9,"9024"
"91","   10 ","01/04/1961",0,9.9,26.5,10,"9024"
"92","   6.5 ","02/04/1961",0,7.4,25.5,6.5,"9024"
"93","    6 ","03/04/1961",0,11.7,25,6,"9024"
"94","    6 ","04/04/1961",1.5,6.1,23,6,"9024"
"95","    8 ","05/04/1961",0,7.1,22,8,"9024"
"96","    8.5 ","06/04/1961",0,8.8,26,8.5,"9024"
"97","    5.5 ","07/04/1961",0,7.9,26,5.5,"9024"
"98","    8 ","08/04/1961",0,8.9,27,8,"9024"
"99","   6 ","09/04/1961",0,6.9,27.5,6,"9024"
"100","    6.5 ","10/04/1961",0,10.5,27,6.5,"9024"
"101","    7.5 ","11/04/1961",0,9.2,29,7.5,"9024"
"102","   6.5 ","12/04/1961",0,7.7,28.5,6.5,"9024"
"103","    7.5 ","13/04/1961",0,8.9,29,7.5,"9024"
"104","    9 ","14/04/1961",0,7.7,29,9,"9024"
"105","   9 ","15/04/1961",0,7.6,28.5,9,"9024"
"106","   10 ","16/04/1961",0,4.9,26.5,10,"9024"
"107","    8.5 ","17/04/1961",0,5.7,27,8.5,"9024"
"108","   9.5 ","18/04/1961",0,5.6,27.5,9.5,"9024"
"109","   9 ","19/04/1961",0,7.3,28.5,9,"9024"
"110","    10.5 ","20/04/1961",0,7.8,28,10.5,"9024"
"111","   9 ","21/04/1961",0,8.6,29.5,9,"9024"
"112","    6.5 ","22/04/1961",0,7.8,28,6.5,"9024"
"113","    7 ","23/04/1961",0,8.3,29,7,"9024"
"114","   8.5 ","24/04/1961",0,7.7,30.5,8.5,"9024"
"115","   9.5 ","25/04/1961",2.6,6.7,30.5,9.5,"9024"
"116","    9 ","26/04/1961",13.4,6.3,29,9,"9024"
"117","    8.5 ","27/04/1961",0,7.6,29,8.5,"9024"
"118","    11 ","28/04/1961",9.5,6,28,11,"9024"
"119","   10.5 ","29/04/1961",0.5,2.8,21.5,10.5,"9024"
"120","   8.5 ","30/04/1961",0,3.3,23.5,8.5,"9024"
"121","   11.5 ","01/05/1961",0,6.6,27.5,11.5,"9024"
