"","a[str_detect(a[, 1], pattern = pat_fecha), ]","fecha","precip","evap","TMAX","TMIN","Estacion"
"1","   1 ","01/01/1961",0,3.9,24.5,1,"15092"
"2","    1 ","02/01/1961",0,4,24,1,"15092"
"3","   1 ","03/01/1961",0,4.4,22.5,1,"15092"
"4","   3 ","04/01/1961",0,3.1,20.5,3,"15092"
"5","   2.5 ","05/01/1961",0,3,22.5,2.5,"15092"
"6","    3.5 ","06/01/1961",0,2.7,23,3.5,"15092"
"7","    4.5 ","07/01/1961",0,6.5,24,4.5,"15092"
"8","    5 ","08/01/1961",0,3.4,21,5,"15092"
"9","   6 ","09/01/1961",0,4,20.5,6,"15092"
"10","   1.5 ","10/01/1961",2.5,2,21.5,1.5,"15092"
"11","   2.5 ","11/01/1961",3.5,2.7,20.5,2.5,"15092"
"12","   5 ","12/01/1961",0,2.9,20.5,5,"15092"
"13","   2 ","13/01/1961",0,4.5,21.5,2,"15092"
"14","    2.5 ","14/01/1961",0,2.7,20,2.5,"15092"
"15","   2 ","15/01/1961",0,2.9,20.5,2,"15092"
"16","   2 ","16/01/1961",0,2.1,19.5,2,"15092"
"17","   4 ","17/01/1961",0,2.8,19.5,4,"15092"
"18","   4 ","18/01/1961",0,2.6,22.5,4,"15092"
"19","    4 ","19/01/1961",0,3.3,22,4,"15092"
"20","   5.5 ","20/01/1961",6,9,20.5,5.5,"15092"
"21","   6.5 ","21/01/1961",0,3.1,17.5,6.5,"15092"
"22","    2.5 ","22/01/1961",0,4.3,22,2.5,"15092"
"23","    3 ","23/01/1961",0,2.8,21,3,"15092"
"24","   3 ","24/01/1961",0,2.6,17.5,3,"15092"
"25","   2.5 ","25/01/1961",0,4.1,23.5,2.5,"15092"
"26","   2 ","26/01/1961",0,4.8,24.5,2,"15092"
"27","   1.5 ","27/01/1961",0,3.5,24.5,1.5,"15092"
"28","   2.5 ","28/01/1961",0,5.7,24.5,2.5,"15092"
"29","   2 ","29/01/1961",0,3.8,24.5,2,"15092"
"30","   1.5 ","30/01/1961",0,5.2,22.5,1.5,"15092"
"31","    2 ","31/01/1961",0,4.3,24,2,"15092"
"32","   3 ","01/02/1961",0,5.2,22.5,3,"15092"
"33","    5 ","02/02/1961",0,5.3,21,5,"15092"
"34","    1 ","03/02/1961",0,5.3,20,1,"15092"
"35","   2.5 ","04/02/1961",0,4.3,21.5,2.5,"15092"
"36","   5.5 ","05/02/1961",1,3.2,17.5,5.5,"15092"
"37","    7 ","06/02/1961",0,4.3,20,7,"15092"
"38","   -0.1 ","07/02/1961",0,5,22,-0.1,"15092"
"39","   1 ","08/02/1961",0,4.8,24.5,1,"15092"
"40","   2 ","09/02/1961",0,3.3,23.5,2,"15092"
"41","    4 ","10/02/1961",0,6.9,20,4,"15092"
"42","    2 ","11/02/1961",0,5.9,19,2,"15092"
"43","    1 ","12/02/1961",0,6.4,22,1,"15092"
"44","   -0.3 ","13/02/1961",0,7.7,25,-0.3,"15092"
"45","   -0.3 ","14/02/1961",0,4.9,24,-0.3,"15092"
"46","  -0.1 ","15/02/1961",0,4.9,24.5,-0.1,"15092"
"47","   1 ","16/02/1961",0,4.8,23.5,1,"15092"
"48","    1.5 ","17/02/1961",0,5.7,25,1.5,"15092"
"49","    3 ","18/02/1961",0,5.9,25,3,"15092"
"50","    3 ","19/02/1961",0,7.2,26,3,"15092"
"51","    4 ","20/02/1961",0,7.3,26,4,"15092"
"52","   5.5 ","21/02/1961",0,6.7,24.5,5.5,"15092"
"53","    2.5 ","22/02/1961",0,6.4,25,2.5,"15092"
"54","    4 ","23/02/1961",0,7.5,26,4,"15092"
"55","   4 ","24/02/1961",0,5.7,24.5,4,"15092"
"56","    5 ","25/02/1961",0,4.6,23,5,"15092"
"57","   3 ","26/02/1961",0,6.7,25.5,3,"15092"
"58","   5 ","27/02/1961",0,7.1,26.5,5,"15092"
"59","   6 ","28/02/1961",0,5.8,25.5,6,"15092"
"60","   7 ","01/03/1961",0,2.7,22.5,7,"15092"
"61","   4 ","02/03/1961",0,5.3,25.5,4,"15092"
"62","    5.5 ","03/03/1961",0,4.1,22,5.5,"15092"
"63","    7.5 ","04/03/1961",0,3.7,21,7.5,"15092"
"64","   3 ","05/03/1961",0,5.4,24.5,3,"15092"
"65","   4.5 ","06/03/1961",0,6.4,26.5,4.5,"15092"
"66","    6.5 ","07/03/1961",0,6.8,29,6.5,"15092"
"67","    8.5 ","08/03/1961",0,5.5,24,8.5,"15092"
"68","    3.5 ","09/03/1961",0,6.6,22,3.5,"15092"
"69","    1 ","10/03/1961",0,6.1,25,1,"15092"
"70","    2.5 ","11/03/1961",0,2.6,24,2.5,"15092"
"71","    7.5 ","12/03/1961",1.5,4.8,23,7.5,"15092"
"72","   4 ","13/03/1961",0,7.7,24.5,4,"15092"
"73","    5 ","14/03/1961",0,4.7,25,5,"15092"
"74","   6.5 ","15/03/1961",0,7.5,23.5,6.5,"15092"
"75","    9 ","16/03/1961",0,6.6,24,9,"15092"
"76","   5.5 ","17/03/1961",0,7.9,25.5,5.5,"15092"
"77","   4 ","18/03/1961",0,8.6,25.5,4,"15092"
"78","   3 ","19/03/1961",0,7.5,25.5,3,"15092"
"79","    1.5 ","20/03/1961",0,9,25,1.5,"15092"
"80","   2.5 ","21/03/1961",0,6.3,25.5,2.5,"15092"
"81","   4 ","22/03/1961",0,6.3,24.5,4,"15092"
"82","    3.5 ","23/03/1961",0,8.4,25,3.5,"15092"
"83","   4.5 ","24/03/1961",0,5.8,23.5,4.5,"15092"
"84","   5.5 ","25/03/1961",0,5,24.5,5.5,"15092"
"85","   9 ","26/03/1961",0,5.1,22.5,9,"15092"
"86","    8.5 ","27/03/1961",0,9,26,8.5,"15092"
"87","    9 ","28/03/1961",0,10.3,27,9,"15092"
