"","Id_Estacion","Periodo","null","ENERO","FEBRERO","MARZO","ABRIL","MAYO","JUNIO","JULIO","AGOSTO","SEPTIEMBRE","OCTUBRE","NOVIEMBRE","DICIEMBRE","TOTAL","Periodo2"
"211","13051","5110",NA,"9.4","4.4","4.8","12.2","36.6","98.8","94.9","68.7","150.3","95.3","27.5","10.4","613.3","1951 - 2010"
"212","13053","5110",NA,"9.6","1.6","6.4","25.6","43.1","94.7","79.1","87.8","77.4","42.3","7.7","4.5","479.8","1951 - 2010"
"213","13056","5110",NA,"10.1","12.3","12.5","33.3","54.3","66.4","74","47.8","59.2","26.6","10.1","5.8","412.4","1951 - 2010"
"214","13056","7100",NA,"8.7","8.4","13.6","32.9","58.3","70","69.7","49.3","58.3","24.8","11.3","6.6","411.9","1971 - 2000"
"215","13056","8110",NA,"13.7","14.6","10.9","27.4","45.6","65.3","72.2","41.3","48.4","23","7.9","1","371.3","1981 - 2010"
"216","13057","5110",NA,"53.1","53","54.1","88.5","99.2","303.1","249.7","251.8","408.8","191.2","94","83",NA,"1951 - 2010"
"217","13057","7100",NA,"53.1","53","54.1","88.5","99.2","303.1","249.7","251.8","408.8","191.2","94","83",NA,"1971 - 2000"
"218","13057","8110",NA,"55.2","61.3","57.4","96.9","109.8","290.6","262.3","220.6","343.8","173.9","99","94.9",NA,"1981 - 2010"
"219","13059","5110",NA,"8.9","5","15.1","36.2","67.9","79.6","81.4","70.5","92","51.8","10","4.6","523","1951 - 2010"
"220","13059","7100",NA,"8.9","5","15.1","36.2","67.9","79.6","81.4","70.5","92","51.8","10","4.6","523","1971 - 2000"
"221","13060","5110",NA,"10.9","6.1","10.5","26.6","39.8","65.5","62.4","50.4","63.9","38.3","9.5","5","388.9","1951 - 2010"
"222","13060","7100",NA,"10.1","6.9","11.1","26.8","44.5","71.5","62.9","52.6","67.7","37.3","10.5","5.4","407.3","1971 - 2000"
"223","13060","8110",NA,"9.5","8.7","9.2","21.2","38.6","58.1","62.7","51.9","61.5","31.6","8.7","3.9","365.6","1981 - 2010"
