"","a[str_detect(a[, 1], pattern = pat_fecha), ]","fecha","precip","evap","TMAX","TMIN","Estacion"
"1","    13 ","01/06/1947",0,0,27,13,"9056"
"2","    14 ","02/06/1947",0,0,26,14,"9056"
"3","    14 ","03/06/1947",0,0,26,14,"9056"
"4","    11 ","04/06/1947",0,0,26,11,"9056"
"5","    9.3 ","05/06/1947",0,0,27,9.3,"9056"
"6","   12.5 ","06/06/1947",0,0,24.5,12.5,"9056"
"7","   14 ","07/06/1947",12,0,26.5,14,"9056"
"8","    13 ","08/06/1947",12,0,27,13,"9056"
"9","   11.5 ","09/06/1947",0,0,26.5,11.5,"9056"
"10","    10 ","10/06/1947",0,0,27,10,"9056"
"11","    11 ","11/06/1947",0,0,29,11,"9056"
"12","   11 ","12/06/1947",8.8,0,25.5,11,"9056"
"13","   12.5 ","13/06/1947",0,0,27.5,12.5,"9056"
"14","    15 ","14/06/1947",0,0,27,15,"9056"
"15","    14 ","15/06/1947",0,0,26,14,"9056"
"16","    14 ","16/06/1947",0,0,26,14,"9056"
"17","    14 ","17/06/1947",3.3,0,25,14,"9056"
"18","    12 ","18/06/1947",6.2,0,26,12,"9056"
"19","    11.5 ","19/06/1947",1.2,0,25,11.5,"9056"
"20","    13 ","20/06/1947",0,0,25,13,"9056"
"21","    13 ","21/06/1947",0,0,25,13,"9056"
"22","   11 ","22/06/1947",0,0,27.5,11,"9056"
"23","   11 ","23/06/1947",0,0,27.5,11,"9056"
"24","    10.5 ","24/06/1947",0,0,25,10.5,"9056"
"25","   11 ","25/06/1947",1,0,26.5,11,"9056"
"26","    9.5 ","26/06/1947",0,0,27,9.5,"9056"
"27","    11 ","27/06/1947",1,0,27,11,"9056"
"28","   8 ","28/06/1947",14.2,0,27.5,8,"9056"
"29","    9 ","29/06/1947",0,0,26,9,"9056"
"30","    11 ","30/06/1947",0,0,26,11,"9056"
"31","    12.5 ","01/07/1947",8,0,26,12.5,"9056"
"32","    12 ","02/07/1947",0,0,23,12,"9056"
"33","    10.5 ","03/07/1947",10,0,23,10.5,"9056"
"34","   13 ","04/07/1947",0,0,25.5,13,"9056"
"35","    12.5 ","05/07/1947",0,0,26,12.5,"9056"
"36","    10.5 ","06/07/1947",0,0,26,10.5,"9056"
"37","    9 ","07/07/1947",0,0,26,9,"9056"
"38","   10.5 ","08/07/1947",0,0,26.5,10.5,"9056"
"39","    11 ","09/07/1947",0,0,26,11,"9056"
"40","    8 ","10/07/1947",0,0,28,8,"9056"
"41","   10.5 ","11/07/1947",0,0,26.5,10.5,"9056"
"42","   12 ","12/07/1947",4.7,0,25.5,12,"9056"
"43","   13 ","13/07/1947",4.3,0,25.5,13,"9056"
"44","   13 ","14/07/1947",0,0,25.5,13,"9056"
"45","    10 ","15/07/1947",0,0,27,10,"9056"
