"","a[str_detect(a[, 1], pattern = pat_fecha), ]","fecha","precip","evap","TMAX","TMIN","Estacion"
"1","  NULO","18/06/1953",0.2,0,24.3,NA,"9015"
"2","   13.1 ","19/06/1953",3,0,25.5,13.1,"9015"
"3","    13.5 ","20/06/1953",0,0,23,13.5,"9015"
"4","   14.5 ","21/06/1953",11,0,25.5,14.5,"9015"
"5","   13.5 ","22/06/1953",0,0,25.5,13.5,"9015"
"6","   12.5 ","23/06/1953",0,0,25.5,12.5,"9015"
"7","    13.5 ","24/06/1953",1,0,23,13.5,"9015"
"8","    13 ","25/06/1953",0.8,0,25,13,"9015"
"9","   13.5 ","26/06/1953",1.1,0,24.5,13.5,"9015"
"10","    15 ","27/06/1953",2.8,0,24,15,"9015"
"11","   12.5 ","28/06/1953",0,0,26.5,12.5,"9015"
"12","    14 ","29/06/1953",0,0,25,14,"9015"
"13","   12 ","30/06/1953",0,0,20.5,12,"9015"
"14","    13.5 ","01/07/1953",6.5,0,24,13.5,"9015"
"15","    14 ","02/07/1953",9.7,5.1,23,14,"9015"
"16","    14 ","03/07/1953",5.7,3.4,22,14,"9015"
"17","    12 ","04/07/1953",0.5,2.8,22,12,"9015"
"18","    11 ","05/07/1953",3,2.9,22,11,"9015"
"19","    13 ","06/07/1953",0,2.6,22,13,"9015"
"20","   13 ","07/07/1953",0,4.1,24.5,13,"9015"
"21","   11 ","08/07/1953",4.8,3.3,23.5,11,"9015"
"22","   13 ","09/07/1953",5.2,3.3,22.5,13,"9015"
"23","    13 ","10/07/1953",0,4,22,13,"9015"
"24","    11.5 ","11/07/1953",0,4.8,24,11.5,"9015"
"25","    12 ","12/07/1953",3,4.6,24,12,"9015"
"26","   10 ","13/07/1953",0,4.5,21.5,10,"9015"
"27","    12 ","14/07/1953",0,4.9,24,12,"9015"
"28","   10.5 ","15/07/1953",0,4.4,23.5,10.5,"9015"
"29","   13.5 ","16/07/1953",2.9,5,24.5,13.5,"9015"
"30","    12 ","17/07/1953",0,6.2,25,12,"9015"
"31","    12 ","18/07/1953",0,7.4,24,12,"9015"
"32","    11 ","19/07/1953",0,5.6,24,11,"9015"
"33","    13 ","20/07/1953",4.1,4.1,25,13,"9015"
"34","   11 ","21/07/1953",0.1,4.7,21.5,11,"9015"
"35","    11.5 ","22/07/1953",0,3.2,26,11.5,"9015"
"36","    12.5 ","23/07/1953",1.4,4.9,25,12.5,"9015"
"37","   14 ","24/07/1953",0.2,4.2,22.5,14,"9015"
"38","    12.5 ","25/07/1953",1,5.2,24,12.5,"9015"
"39","   10.5 ","26/07/1953",1.1,5.7,24.5,10.5,"9015"
"40","    10.5 ","27/07/1953",0,7.5,24,10.5,"9015"
"41","    12.5 ","28/07/1953",0,7.2,24,12.5,"9015"
"42","   12.5 ","29/07/1953",2,4.6,24.5,12.5,"9015"
"43","   12 ","30/07/1953",0.1,5.8,24.5,12,"9015"
"44","   12 ","31/07/1953",7,5.3,25.5,12,"9015"
"45","    13 ","01/08/1953",0.9,4,24,13,"9015"
"46","    12.5 ","02/08/1953",0,3.1,22,12.5,"9015"
"47","   11 ","03/08/1953",0,5.1,23.5,11,"9015"
"48","   11 ","04/08/1953",4.9,4.3,23.5,11,"9015"
"49","   11.5 ","05/08/1953",15.5,3.5,22.5,11.5,"9015"
"50","    11.5 ","06/08/1953",0,5.9,24,11.5,"9015"
"51","    13 ","07/08/1953",0,6.9,25,13,"9015"
"52","    13 ","08/08/1953",2.2,4.7,25,13,"9015"
"53","   12 ","09/08/1953",9.3,7.1,25.5,12,"9015"
"54","    10.5 ","10/08/1953",0,5.3,25,10.5,"9015"
"55","   11 ","11/08/1953",2,5.4,24.5,11,"9015"
"56","   11.5 ","12/08/1953",0,5.2,24.5,11.5,"9015"
"57","    11 ","13/08/1953",0.5,6.2,25,11,"9015"
"58","   11.5 ","14/08/1953",13.2,4.8,23.5,11.5,"9015"
"59","    10.5 ","15/08/1953",1.4,4.7,26,10.5,"9015"
"60","   13 ","16/08/1953",0,5,24.5,13,"9015"
"61","    11 ","17/08/1953",0.2,3.6,24,11,"9015"
"62","    11.5 ","18/08/1953",1.2,6.2,24,11.5,"9015"
"63","   13 ","19/08/1953",7.8,4.2,22.5,13,"9015"
