"","a[str_detect(a[, 1], pattern = pat_fecha), ]","fecha","precip","evap","TMAX","TMIN","Estacion"
"1","    11 ","01/05/1961",0,0,29,11,"9042"
"2","    10 ","02/05/1961",0,0,30,10,"9042"
"3","   11.5 ","03/05/1961",0,0,28.5,11.5,"9042"
"4","    9 ","04/05/1961",0,0,29,9,"9042"
"5","   10 ","05/05/1961",0,0,28.5,10,"9042"
"6","   9 ","06/05/1961",0,0,30.5,9,"9042"
"7","   6 ","07/05/1961",0,0,31.5,6,"9042"
"8","    7 ","08/05/1961",0,0,31,7,"9042"
"9","    11 ","09/05/1961",0,0,24,11,"9042"
"10","   4 ","10/05/1961",0,0,26.5,4,"9042"
"11","   2.5 ","11/05/1961",0,0,29.5,2.5,"9042"
"12","    5.5 ","12/05/1961",0,0,31,5.5,"9042"
"13","    7.5 ","13/05/1961",0,0,33,7.5,"9042"
"14","   9 ","14/05/1961",0,0,32.5,9,"9042"
"15","    9.5 ","15/05/1961",25.5,0,32,9.5,"9042"
"16","    8 ","16/05/1961",0,0,31,8,"9042"
"17","    10 ","17/05/1961",0,0,30,10,"9042"
"18","    8 ","18/05/1961",1,0,29,8,"9042"
"19","    8 ","19/05/1961",0,0,29,8,"9042"
"20","    7.5 ","20/05/1961",0,0,30,7.5,"9042"
"21","    7 ","21/05/1961",0,0,29,7,"9042"
"22","    6.5 ","22/05/1961",0,0,30,6.5,"9042"
"23","    10.5 ","23/05/1961",4,0,26,10.5,"9042"
"24","   9.5 ","24/05/1961",0,0,24.5,9.5,"9042"
"25","    5.5 ","25/05/1961",0,0,29,5.5,"9042"
"26","    10 ","26/05/1961",15.5,0,30,10,"9042"
"27","    10 ","27/05/1961",4.5,0,25,10,"9042"
"28","    10 ","28/05/1961",0,0,27,10,"9042"
"29","   5 ","29/05/1961",0,0,28.5,5,"9042"
"30","    6.5 ","30/05/1961",0,0,29,6.5,"9042"
"31","LO   NULO    12 ","31/05/1961",0,NA,NA,NA,"9042"
"32","    12.5 ","01/06/1961",5.5,0,28,12.5,"9042"
"33","    12 ","02/06/1961",0,0,28,12,"9042"
"34","    8 ","03/06/1961",0,0,28,8,"9042"
"35","    8.5 ","04/06/1961",0,0,28,8.5,"9042"
"36","    12 ","05/06/1961",0,0,29,12,"9042"
"37","    12 ","06/06/1961",2,0,29,12,"9042"
"38","    12 ","07/06/1961",0,0,29,12,"9042"
"39","   13 ","08/06/1961",9,0,27.5,13,"9042"
"40","   13 ","09/06/1961",28,0,26.5,13,"9042"
"41","   12.5 ","10/06/1961",5.5,0,20.5,12.5,"9042"
"42","   13.5 ","11/06/1961",0,0,21.5,13.5,"9042"
"43","    14 ","12/06/1961",3.5,0,22,14,"9042"
"44","   13.5 ","13/06/1961",0,0,22.5,13.5,"9042"
"45","    13.5 ","14/06/1961",18.5,0,21,13.5,"9042"
"46","    13 ","15/06/1961",8.5,0,23,13,"9042"
"47","    13.5 ","16/06/1961",0,0,25,13.5,"9042"
"48","    13 ","17/06/1961",0,0,26,13,"9042"
"49","    12 ","18/06/1961",0,0,25,12,"9042"
"50","    13 ","19/06/1961",5.5,0,25,13,"9042"
"51","   13 ","20/06/1961",19.5,0,21.5,13,"9042"
"52","    11 ","21/06/1961",0,0,23,11,"9042"
"53","    13 ","22/06/1961",0,0,22,13,"9042"
"54","    13 ","23/06/1961",29,0,25,13,"9042"
"55","    12 ","24/06/1961",4,0,22,12,"9042"
"56","    9 ","25/06/1961",0,0,23,9,"9042"
"57","   10 ","26/06/1961",4,0,22.5,10,"9042"
"58","    11.5 ","27/06/1961",13,0,23,11.5,"9042"
"59","    12 ","28/06/1961",24.5,0,23,12,"9042"
"60","    12 ","29/06/1961",9,0,24,12,"9042"
"61","   11 ","30/06/1961",7.5,0,22.5,11,"9042"
"62","    10 ","01/07/1961",0,0,23,10,"9042"
"63","    8 ","02/07/1961",1.5,0,23,8,"9042"
"64","    11 ","03/07/1961",19.5,0,24,11,"9042"
"65","    12 ","04/07/1961",3.5,0,24,12,"9042"
"66","    13 ","05/07/1961",5.5,0,25,13,"9042"
"67","    10 ","06/07/1961",0,0,24,10,"9042"
"68","    11 ","07/07/1961",7.5,0,22,11,"9042"
"69","    11 ","08/07/1961",4.5,0,24,11,"9042"
"70","    12 ","09/07/1961",9,0,25,12,"9042"
"71","    12 ","10/07/1961",26,0,25,12,"9042"
"72","    11 ","11/07/1961",4,0,25,11,"9042"
"73","    12 ","12/07/1961",16,0,23,12,"9042"
"74","    12 ","13/07/1961",2,0,21,12,"9042"
"75","    9 ","14/07/1961",5.5,0,24,9,"9042"
"76","   9 ","15/07/1961",0,0,24.5,9,"9042"
"77","    9 ","16/07/1961",0,0,26,9,"9042"
"78","    9 ","17/07/1961",0,0,26,9,"9042"
"79","    12 ","18/07/1961",0,0,27,12,"9042"
"80","    12.5 ","19/07/1961",0,0,27,12.5,"9042"
"81","    13 ","20/07/1961",0,0,26,13,"9042"
"82","   11 ","21/07/1961",9,0,25.5,11,"9042"
"83","   11.5 ","22/07/1961",0,0,23.5,11.5,"9042"
"84","    12 ","23/07/1961",0,0,26,12,"9042"
"85","    12 ","24/07/1961",14.5,0,26,12,"9042"
"86","    10 ","25/07/1961",0,0,22,10,"9042"
"87","   11 ","26/07/1961",4,0,23.5,11,"9042"
"88","    12 ","27/07/1961",14.5,0,21,12,"9042"
"89","    12 ","28/07/1961",0,0,22,12,"9042"
"90","    10.5 ","29/07/1961",2,0,25,10.5,"9042"
"91","    12 ","30/07/1961",2,0,24,12,"9042"
"92","   13 ","31/07/1961",4.5,0,18.5,13,"9042"
"93","    10 ","01/08/1961",20.5,0,21,10,"9042"
"94","    10 ","02/08/1961",19.5,0,23,10,"9042"
"95","   11 ","03/08/1961",0,0,24.5,11,"9042"
"96","   11 ","04/08/1961",9.5,0,23.5,11,"9042"
"97","    11 ","05/08/1961",19,0,25,11,"9042"
"98","    9.5 ","06/08/1961",0,0,25,9.5,"9042"
"99","    9 ","07/08/1961",0,0,25,9,"9042"
"100","    10 ","08/08/1961",0,0,27,10,"9042"
"101","    9 ","09/08/1961",0,0,27,9,"9042"
"102","    10.5 ","10/08/1961",0,0,27,10.5,"9042"
"103","    13.5 ","11/08/1961",5,0,25,13.5,"9042"
"104","   10.5 ","12/08/1961",0,0,23.5,10.5,"9042"
"105","   12 ","13/08/1961",1,0,24.5,12,"9042"
"106","    12 ","14/08/1961",9.5,0,26,12,"9042"
"107","    10 ","15/08/1961",0,0,25,10,"9042"
"108","    11 ","16/08/1961",0,0,26,11,"9042"
"109","    13 ","17/08/1961",8,0,25,13,"9042"
"110","    13 ","18/08/1961",1.5,0,23,13,"9042"
"111","    14 ","19/08/1961",0,0,24,14,"9042"
