"","a[str_detect(a[, 1], pattern = pat_fecha), ]","fecha","precip","evap","TMAX","TMIN","Estacion"
"1","    5 ","01/03/1975",0,0,25,5,"9069"
"2","    5 ","02/03/1975",0,0,27,5,"9069"
"3","   6.5 ","03/03/1975",0,0,26.5,6.5,"9069"
"4","    6 ","04/03/1975",0,0,25,6,"9069"
"5","    5 ","05/03/1975",0,0,27,5,"9069"
"6","    5 ","06/03/1975",0,0,25,5,"9069"
"7","   6.5 ","07/03/1975",0,0,25.5,6.5,"9069"
"8","    4 ","08/03/1975",0,0,26,4,"9069"
"9","    4.5 ","09/03/1975",0,0,27,4.5,"9069"
"10","    4 ","10/03/1975",0,0,28,4,"9069"
"11","    7.5 ","11/03/1975",0,0,30,7.5,"9069"
"12","    7 ","12/03/1975",0,0,27,7,"9069"
"13","    6.5 ","13/03/1975",0,0,30,6.5,"9069"
"14","    6 ","14/03/1975",0,0,30,6,"9069"
"15","    7 ","15/03/1975",0,0,30,7,"9069"
"16","   8 ","16/03/1975",0,0,29.5,8,"9069"
"17","    9.5 ","17/03/1975",0,0,28,9.5,"9069"
"18","   6.5 ","18/03/1975",5,0,26.5,6.5,"9069"
"19","    7.5 ","19/03/1975",0,0,26,7.5,"9069"
"20","    8.5 ","20/03/1975",0,0,28,8.5,"9069"
"21","    9 ","21/03/1975",0,0,28,9,"9069"
"22","    8 ","22/03/1975",0,0,29,8,"9069"
"23","    8 ","23/03/1975",0,0,28,8,"9069"
"24","    7 ","24/03/1975",2.5,0,26,7,"9069"
"25","    8 ","25/03/1975",0,0,26,8,"9069"
"26","    7 ","26/03/1975",0,0,30,7,"9069"
"27","   8 ","27/03/1975",0,0,29.5,8,"9069"
"28","   9.5 ","28/03/1975",0,0,28.5,9.5,"9069"
"29","   8.5 ","29/03/1975",0,0,28.5,8.5,"9069"
"30","   9.5 ","30/03/1975",0,0,29.5,9.5,"9069"
"31","    9 ","31/03/1975",0,0,30,9,"9069"
"32","   10 ","01/04/1975",0,0,30.5,10,"9069"
"33","    10.5 ","02/04/1975",0,0,27,10.5,"9069"
"34","    7 ","03/04/1975",0,0,31,7,"9069"
"35","    7 ","04/04/1975",0,0,29,7,"9069"
"36","   9.5 ","05/04/1975",0,0,28.5,9.5,"9069"
"37","    9.5 ","06/04/1975",2.6,0,28,9.5,"9069"
"38","    8 ","07/04/1975",0,0,27,8,"9069"
"39","    9 ","08/04/1975",0,0,27,9,"9069"
"40","    9 ","09/04/1975",0,0,29,9,"9069"
"41","    10 ","10/04/1975",0,0,29,10,"9069"
"42","    8.5 ","11/04/1975",0,0,29,8.5,"9069"
"43","    10 ","12/04/1975",0,0,28,10,"9069"
"44","    10 ","13/04/1975",0,0,30,10,"9069"
"45","    9.5 ","14/04/1975",0,0,29,9.5,"9069"
"46","   9.5 ","15/04/1975",0,0,29.5,9.5,"9069"
"47","    8 ","16/04/1975",0,0,30,8,"9069"
"48","    11 ","17/04/1975",0,0,31,11,"9069"
"49","    12 ","18/04/1975",0,0,30,12,"9069"
"50","    11 ","19/04/1975",0,0,30,11,"9069"
"51","    8 ","20/04/1975",1,0,29,8,"9069"
"52","   8.5 ","21/04/1975",0,0,28.5,8.5,"9069"
"53","   7 ","22/04/1975",0,0,29.5,7,"9069"
"54","   7 ","23/04/1975",0,0,31.5,7,"9069"
"55","   8 ","24/04/1975",0,0,30.5,8,"9069"
"56","   11 ","25/04/1975",0,0,28.5,11,"9069"
"57","    10.5 ","26/04/1975",19.5,0,28,10.5,"9069"
"58","    4.5 ","27/04/1975",0,0,28,4.5,"9069"
"59","    9 ","28/04/1975",0,0,27,9,"9069"
"60","    10.5 ","29/04/1975",0,0,28,10.5,"9069"
"61","    9 ","30/04/1975",0,0,28,9,"9069"
"62","    10 ","01/05/1975",9.8,0,28,10,"9069"
"63","   6.5 ","02/05/1975",0,0,27.5,6.5,"9069"
"64","   9.5 ","03/05/1975",0.4,0,29.5,9.5,"9069"
"65","   10.5 ","04/05/1975",0,0,29.5,10.5,"9069"
"66","   10 ","05/05/1975",0,0,28.5,10,"9069"
"67","    10.5 ","06/05/1975",1,0,30,10.5,"9069"
